Nucleos,Tempo_Real,Tempo_User,Tempo_Sys
1,2.69886,2.69785,0.00100
2,1.24531,2.48603,0.00000
3,0.83701,2.50303,0.00000
4,0.61146,2.44331,0.00000
5,0.49494,2.46277,0.00000
6,0.43035,2.51243,0.00350
