Nucleos,Tempo_Real,Tempo_User,Tempo_Sys
1,1.40867,0.725563,0.0468326
2,1.05641,0.72433,0.0478876
3,0.933518,0.720797,0.0475215
4,0.874138,0.724024,0.046494
5,0.915941,0.797741,0.0441356
6,0.875637,0.843066,0.0478299
7,0.859144,0.871953,0.051726
8,0.844162,0.893613,0.0481919
