Nucleos,Tempo_Real,Tempo_User,Tempo_Sys
1,1.70558,1.70557,0.00000
2,0.89564,1.79081,0.00000
3,0.70714,2.11049,0.00000
4,0.67316,2.65983,0.00000
5,0.53947,2.62677,0.00100
6,0.48903,2.83517,0.00000
7,0.45382,3.07126,0.00050
8,0.44436,3.41085,0.00000
9,0.42474,3.63154,0.00000
10,0.40048,3.77175,0.00050
11,0.38714,4.06425,0.00050
12,0.37227,4.27210,0.00000
13,0.35653,4.47877,0.00000
14,0.36305,4.93164,0.00050
15,0.35408,5.17519,0.00000
16,0.35962,5.45805,0.00550
