Nucleos,Tempo_Real,Tempo_User,Tempo_Sys
1,5.63157,5.63138,0.00004
2,2.83073,5.54790,0.00000
3,1.89331,5.51303,0.00000
4,1.42456,5.51170,0.00017
5,2.03580,6.41614,0.00033
6,1.70179,7.03456,0.00000
7,1.46746,7.50869,0.00033
8,1.31966,7.87148,0.00067
