Nucleos,Tempo_Real,Tempo_User,Tempo_Sys
1,0.734528,0.332008,0.006513
2,0.547421,0.304034,0.00740605
3,0.488263,0.299564,0.00244005
4,0.46374,0.296334,0.0048494
5,0.459013,0.316999,0.0060056
6,0.457386,0.359979,0.0073336
