epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9452,1.73181,2.35639,1.43983,0.91353,0.34029,0.40346,0.23873,1.44837,1.64921,1.30035,0.000551781,0.000551781,0.000551781
2,46.6051,1.49269,1.43199,1.25411,0.92983,0.41285,0.45995,0.26926,1.3864,1.09101,1.2284,0.0010709,0.0010709,0.0010709
3,75.0505,1.4532,1.19296,1.2287,0.93441,0.42939,0.49967,0.29816,1.35608,0.94667,1.21659,0.00155335,0.00155335,0.00155335
4,102.871,1.40625,1.07085,1.22103,0.56813,0.54032,0.54992,0.33561,1.32159,0.94315,1.23147,0.00150197,0.00150197,0.00150197
5,130.424,1.37069,0.99801,1.20074,0.48933,0.55957,0.55032,0.3402,1.34322,0.86687,1.2111,0.00144696,0.00144696,0.00144696
6,158.283,1.35264,0.93483,1.19797,0.61312,0.66483,0.6593,0.42314,1.26496,0.81551,1.18812,0.00139195,0.00139195,0.00139195
7,186.958,1.29579,0.87674,1.17578,0.695,0.64716,0.69613,0.43957,1.24294,0.75079,1.18493,0.00133693,0.00133693,0.00133693
8,219.327,1.25878,0.85019,1.15692,0.65725,0.69006,0.68742,0.4426,1.23152,0.74485,1.18181,0.00128192,0.00128192,0.00128192
9,259.153,1.23169,0.79858,1.1467,0.79961,0.69277,0.75928,0.49725,1.17038,0.72514,1.16051,0.00122691,0.00122691,0.00122691
10,302.607,1.22575,0.79285,1.13941,0.7362,0.69081,0.72722,0.4755,1.18407,0.72865,1.15889,0.0011719,0.0011719,0.0011719
11,334.644,1.20947,0.77837,1.13451,0.74399,0.7382,0.75732,0.52075,1.13894,0.66398,1.11765,0.00111689,0.00111689,0.00111689
12,378.975,1.19531,0.76205,1.12409,0.6998,0.76722,0.7182,0.48386,1.18487,0.705,1.14553,0.00106188,0.00106188,0.00106188
13,407.323,1.17632,0.73905,1.12186,0.78103,0.73446,0.80616,0.55032,1.12873,0.66419,1.12876,0.00100687,0.00100687,0.00100687
14,430.161,1.17843,0.73868,1.11944,0.87268,0.71044,0.81464,0.56235,1.11582,0.63724,1.10939,0.000951857,0.000951857,0.000951857
15,462.026,1.14759,0.71796,1.1061,0.83239,0.72377,0.79911,0.55323,1.10551,0.62875,1.11475,0.000896846,0.000896846,0.000896846
16,501.686,1.12338,0.69796,1.0905,0.8334,0.75459,0.82162,0.57382,1.06606,0.59445,1.09666,0.000841835,0.000841835,0.000841835
17,538.82,1.10875,0.67489,1.08682,0.86678,0.79101,0.84114,0.60689,1.07355,0.59401,1.08719,0.000786824,0.000786824,0.000786824
18,560.724,1.09219,0.6557,1.07887,0.88755,0.79557,0.86721,0.61831,1.04721,0.56885,1.07739,0.000731813,0.000731813,0.000731813
19,582.374,1.08547,0.6513,1.07144,0.86195,0.79745,0.84753,0.60626,1.04699,0.56713,1.06739,0.000676802,0.000676802,0.000676802
20,604.053,1.04487,0.6222,1.05017,0.93549,0.74593,0.84455,0.6006,1.00888,0.55207,1.05573,0.000621791,0.000621791,0.000621791
21,652.963,1.00547,0.57493,1.05874,0.90192,0.78262,0.84832,0.61591,1.03312,0.54941,1.06622,0.00056678,0.00056678,0.00056678
22,674.242,0.98853,0.56786,1.0465,0.87786,0.76579,0.85408,0.6178,1.01182,0.54451,1.06593,0.000511769,0.000511769,0.000511769
23,695.751,0.96725,0.55798,1.03711,0.8966,0.82741,0.87103,0.64042,0.97976,0.52378,1.04745,0.000456758,0.000456758,0.000456758
24,717.183,0.93937,0.52868,1.02578,0.89772,0.8333,0.87656,0.65159,0.97609,0.52024,1.04055,0.000401747,0.000401747,0.000401747
25,738.37,0.92703,0.51769,1.01918,0.88534,0.81752,0.87024,0.64964,0.9553,0.52056,1.03298,0.000346736,0.000346736,0.000346736
26,759.771,0.89864,0.50622,1.00519,0.93154,0.80415,0.87703,0.65165,0.98985,0.51085,1.03446,0.000291725,0.000291725,0.000291725
27,781.084,0.88798,0.49594,0.99918,0.95837,0.80488,0.87812,0.67242,0.90789,0.49774,1.01425,0.000236714,0.000236714,0.000236714
28,802.323,0.88012,0.49105,1.00084,0.90789,0.82875,0.88241,0.67925,0.89154,0.47763,0.9984,0.000181703,0.000181703,0.000181703
29,823.7,0.84035,0.47109,0.97886,0.94161,0.80865,0.8855,0.67696,0.89784,0.4715,0.99827,0.000126692,0.000126692,0.000126692
30,845.054,0.84044,0.46436,0.97678,0.91251,0.84168,0.88851,0.68559,0.89065,0.46501,0.99378,7.1681e-05,7.1681e-05,7.1681e-05
